Document group,Document name,文本标题,年份,时间阶段,内容类属,内容主题,内容概述,时间段2,文本编号
Group 1,20140723_在项目管理资源池第一期学员座谈会上的讲话,在项目管理资源池第一期学员座谈会上的讲话,2014,3,管理优化,管理变革,实现项目管理全流程贯通,2011-2014,2014-28-GL1
Group 1,20140725_在2014年7月25日EMT办公会议上的讲话,在2014年7月25日EMT办公会议上的讲话,2014,3,战略导向,总体战略,精干机构和针尖战略,2011-2014,2014-29-ZL4
Group 1,20140826_在销售项目经理资源池第一期学员座谈会上的讲话,在销售项目经理资源池第一期学员座谈会上的讲话,2014,3,队伍建设,培养选拔,协同实现干部循环流动,2011-2014,2014-30-DW2
Group 1,20140923_在“班长的战争”对华为的启示和挑战汇报会上的讲话,在“班长的战争”对华为的启示和挑战汇报会上的讲话,2014,3,管理优化,管理变革,组织和系统支持下的任务式指挥,2011-2014,2014-31-GL1
Group 1,20140923_在公司近期激励导向和激励原则汇报会上的讲话,在公司近期激励导向和激励原则汇报会上的讲话,2014,3,队伍建设,考评激励,员工激励,2011-2014,2014-32-DW1
Group 1,20141104_与CEC就非物质激励工作优化的座谈纪要,与CEC就非物质激励工作优化的座谈纪要,2014,3,队伍建设,考评激励,员工激励,2011-2014,2014-33-DW1
Group 1,20141104_在行政流程责任制试点进展汇报会上的讲话,在行政流程责任制试点进展汇报会上的讲话,2014,3,管理优化,职能体系建设,改革行政服务体系,2011-2014,2014-34-GL3
Group 1,20141106_遍地英雄下夕烟，六亿神州尽舜尧,遍地英雄下夕烟，六亿神州尽舜尧,2014,3,战略导向,总体战略,华为公司未来的胜利保障,2011-2014,2014-35-ZL4
Group 1,20141114_坚持为世界创造价值，为价值而创新,坚持为世界创造价值，为价值而创新,2014,3,战略导向,总体战略,把握住大时代转型的机会点,2011-2014,2014-36-ZL4
Group 1,20141205_在“从中心仓到站点打通”工作汇报会上的讲话,在“从中心仓到站点打通”工作汇报会上的讲话,2014,3,管理优化,职能体系建设,从中心仓到站点打通,2011-2014,2014-37-GL3
Group 1,20141218_依托欧美先进软件包构建高质量的IT系统,依托欧美先进软件包构建高质量的IT系统,2014,3,管理优化,职能体系建设,构建高质量的IT系统,2011-2014,2014-38-GL3
Group 1,20141218_在艰苦地区及岗位管理部工作汇报会上的讲话,在艰苦地区及岗位管理部工作汇报会上的讲话,2014,3,队伍建设,培养选拔,员工培养,2011-2014,2014-39-DW2
Group 1,20150108_在与法务部、董秘及无线员工座谈会上的讲话,在与法务部、董秘及无线员工座谈会上的讲话,2015,3,管理优化,职能体系建设,法务和知识产权工作,2015-2018,2015-1-GL3
Group 1,20150109_打造运营商BG“三朵云”，将一线武装到牙齿,打造运营商BG“三朵云”，将一线武装到牙齿,2015,3,战略导向,业务层战略,“体验云”、“知识云”和“客户方案”云,2015-2018,2015-2-ZL1
Group 1,20150116_变革的目的就是要多产粮食和增加土地肥力,变革的目的就是要多产粮食和增加土地肥力,2015,3,战略导向,总体战略,变革的最终目的,2015-2018,2015-3-ZL4
Group 1,20150310_非主航道组织要率先实现流程责任制，通过流程责任来选拔管理者，淘汰不作为员工，为公司管理进步摸索经验,非主航道组织要率先实现流程责任制，通过流程责任来选拔管理者，淘汰不作为员工，为公司管理进步摸索经验,2015,3,管理优化,管理变革,非主航道组织流程责任制建设,2015-2018,2015-4-GL1
Group 1,20150318_在2015年全球行政工作年会上的讲话,在2015年全球行政工作年会上的讲话,2015,3,管理优化,职能体系建设,改革行政服务体系,2015-2018,2015-5-GL3
Group 1,20150331_在变革战略预备队进展汇报上的讲话,在变革战略预备队进展汇报上的讲话,2015,3,队伍建设,培养选拔,员工培养,2015-2018,2015-6-DW2
Group 1,20150504_在变革战略预备队及进展汇报座谈上的讲话,在变革战略预备队及进展汇报座谈上的讲话,2015,3,队伍建设,培养选拔,员工培养,2015-2018,2015-7-DW2
Group 1,20150508_在变革战略预备队誓师及颁奖典礼上的座谈纪要,在变革战略预备队誓师及颁奖典礼上的座谈纪要,2015,3,管理优化,管理变革,LTC变革,2015-2018,2015-8-GL1
Group 1,20150515_在监管重装旅座谈会上的讲话,在监管重装旅座谈会上的讲话,2015,3,管理优化,制度建设,公司内控和监管,2015-2018,2015-9-GL4
Group 1,20150520_在公司质量工作汇报会上的讲话,在公司质量工作汇报会上的讲话,2015,3,管理优化,职能体系建设,构建大质量管理体系,2015-2018,2015-10-GL3
Group 1,20150702_在固网产业趋势及进展汇报会上的讲话,在固网产业趋势及进展汇报会上的讲话,2015,3,战略导向,业务层战略,固网业务发展,2015-2018,2015-11-ZL1
Group 1,20150713_在合同场景师建设思路汇报上的讲话,在合同场景师建设思路汇报上的讲话,2015,3,队伍建设,培养选拔,培养合同经理队伍,2015-2018,2015-12-DW2
Group 1,20150713_在子公司监督型董事会管理层监督方案及试点情况汇报上的讲话,在子公司监督型董事会管理层监督方案及试点情况汇报上的讲话,2015,3,管理优化,制度建设,公司内控和监管,2015-2018,2015-13-GL4
Group 1,20150714_与英国研究所、北京研究所、伦敦财经风险管控中心座谈的纪要,与英国研究所、北京研究所、伦敦财经风险管控中心座谈的纪要,2015,3,战略导向,研发创新,聚焦在主航道上创新,2015-2018,2015-14-ZL3
Group 1,20150730_在战略预备队业务汇报上的讲话,在战略预备队业务汇报上的讲话,2015,3,队伍建设,培养选拔,建设战略预备队,2015-2018,2015-15-DW2
Group 1,20150731_在变革战略预备队第三期誓师典礼上的讲话,在变革战略预备队第三期誓师典礼上的讲话,2015,3,管理优化,管理变革,管理变革的方向与挑战,2015-2018,2015-16-GL1
Group 1,20150812_构建先进装备，沉淀核心能力，在更高维度打赢下一场战争,构建先进装备，沉淀核心能力，在更高维度打赢下一场战争,2015,3,战略导向,业务层战略,运营商BG发展战略举措,2015-2018,2015-17-ZL1
Group 1,20150827_脚踏实地，做挑战自我的长跑者,脚踏实地，做挑战自我的长跑者,2015,3,战略导向,业务层战略,消费者BG发展战略举措,2015-2018,2015-18-ZL1
Group 1,20150828_在2015年8月28日EMT办公会议上的讲话,在2015年8月28日EMT办公会议上的讲话,2015,3,战略导向,总体战略,未来发展的综合战略,2015-2018,2015-19-ZL4
Group 1,20150902_在波士顿咨询汇报行政服务变革（国家驻点成果及未来变革方向）的讲话,在波士顿咨询汇报行政服务变革（国家驻点成果及未来变革方向）的讲话,2015,3,管理优化,职能体系建设,推进行政服务和行政管理变革,2015-2018,2015-20-GL3
Group 1,20150924_在2015年9月24日EMT办公会议上的讲话,在2015年9月24日EMT办公会议上的讲话,2015,3,战略导向,总体战略,建立战略伙伴规则，实施质量优先的战略,2015-2018,2015-21-ZL4
Group 1,20150928_在GTS站点信息库、地理信息库、网络动态运行信息库和集成交付平台建设汇报会上的讲话,在GTS站点信息库、地理信息库、网络动态运行信息库和集成交付平台建设汇报会上的讲话,2015,3,管理优化,职能体系建设,“三个基础信息库”建设,2015-2018,2015-22-GL3
Group 1,201509_致新员工书,致新员工书,2015,3,队伍建设,培养选拔,员工培养,2015-2018,2015-23-DW2
Group 1,20151010_最终的竞争是质量的竞争,最终的竞争是质量的竞争,2015,3,战略导向,总体战略,以客户为中心，提高质量，变革作战方式,2015-2018,2015-24-ZL4
Group 1,20151023_将军是打出来的,将军是打出来的,2015,3,队伍建设,培养选拔,职业化人才的选拔和发展,2015-2018,2015-25-DW2
Group 1,20151027_小国要率先实现精兵战略，让听得见炮声的人呼唤炮火,小国要率先实现精兵战略，让听得见炮声的人呼唤炮火,2015,3,战略导向,跨国经营,小国精兵战略,2015-2018,2015-26-ZL2
Group 1,20160113_决胜取决于坚如磐石的信念，信念来自专注,决胜取决于坚如磐石的信念，信念来自专注,2016,3,战略导向,总体战略,在战略机会点上聚集力量,2015-2018,2016-1-ZL4
Group 1,20160118_变革的目的就是更简单、更及时、更准确,变革的目的就是更简单、更及时、更准确,2016,3,管理优化,管理变革,推行大部门制、缩小评审点,2015-2018,2016-2-GL1
Group 1,20160125_在2016年1月25日EMT办公会议上的讲话,在2016年1月25日EMT办公会议上的讲话,2016,3,管理优化,管理变革,管理流程简化,2015-2018,2016-3-GL1
Group 1,20160214_做“成吉思汗的马掌”，支撑我们服务世界的雄心,做“成吉思汗的马掌”，支撑我们服务世界的雄心,2016,3,战略导向,总体战略,服务如何支撑公司发展,2015-2018,2016-4-ZL4
Group 1,20160227_多路径多梯次跨越“上甘岭”攻进无人区,多路径多梯次跨越“上甘岭”攻进无人区,2016,3,战略导向,总体战略,未来改革和发展方向,2015-2018,2016-5-ZL4
Group 1,20160307_关于改善艰苦国家的作战环境,关于改善艰苦国家的作战环境,2016,3,管理优化,日常管理,改善艰苦地区作战环境,2015-2018,2016-6-GL2
Group 1,20160331_在巴展总结会议上的讲话,在巴展总结会议上的讲话,2016,3,管理优化,日常管理,对巴塞罗那MWC展会组织的看法,2015-2018,2016-7-GL2
Group 1,20160428_在专业服务业务策略汇报上的讲话,在专业服务业务策略汇报上的讲话,2016,3,战略导向,业务层战略,专业服务业务,2015-2018,2016-8-ZL1
Group 1,20160523_在中亚地区部员工座谈会上的讲话,在中亚地区部员工座谈会上的讲话,2016,3,战略导向,跨国经营,中亚地区的发展战略,2015-2018,2016-9-ZL2
Group 1,20160528_为祖国百年科技振兴而努力奋斗,为祖国百年科技振兴而努力奋斗,2016,3,战略导向,总体战略,华为的战略举措和目标,2015-2018,2016-10-ZL4
Group 1,20160712_前进的路上不会铺满了鲜花,前进的路上不会铺满了鲜花,2016,3,战略导向,总体战略,华为的机会、风险和战略,2015-2018,2016-11-ZL4
Group 1,20160804_在签证业务变革进展汇报上的讲话,在签证业务变革进展汇报上的讲话,2016,3,管理优化,职能体系建设,公司签证业务优化,2015-2018,2016-12-GL3
Group 1,20160810_在诺亚方舟实验室座谈会上的讲话,在诺亚方舟实验室座谈会上的讲话,2016,3,战略导向,业务层战略,人工智能业务的发展战略,2015-2018,2016-13-ZL1
Group 1,20160813_IPD的本质是从机会到商业变现,IPD的本质是从机会到商业变现,2016,3,战略导向,研发创新,未来研发导向,2015-2018,2016-14-ZL3
Group 1,20160815_公司必须持续不断的、永恒的促进组织血液流动，增强优秀干部、专家的循环赋能,公司必须持续不断的、永恒的促进组织血液流动，增强优秀干部、专家的循环赋能,2016,3,队伍建设,培养选拔,战略预备队为组织循环赋能,2015-2018,2016-15-DW2
Group 1,20160819_美丽的爱尔兰是软件的大摇篮,美丽的爱尔兰是软件的大摇篮,2016,3,战略导向,研发创新,合作构建大视频网络,2015-2018,2016-16-ZL3
Group 1,20161021_关于行政与慧通工作讲话的纪要,关于行政与慧通工作讲话的纪要,2016,3,管理优化,职能体系建设,改革行政服务体系,2015-2018,2016-17-GL3
Group 1,20161025_建立对作业类员工的科学管理方法与评价体系，导向多产粮食,建立对作业类员工的科学管理方法与评价体系，导向多产粮食,2016,3,队伍建设,考评激励,考核评价,2015-2018,2016-18-DW1
Group 1,20161026_在质量与流程IT管理部员工座谈会上的讲话,在质量与流程IT管理部员工座谈会上的讲话,2016,3,管理优化,职能体系建设,质量与流程IT的发展导向,2015-2018,2016-19-GL3
Group 1,20161026_在运营商三朵云2.0阶段进展汇报会上的讲话,在运营商三朵云2.0阶段进展汇报会上的讲话,2016,3,管理优化,职能体系建设,“三朵云”的建设目标,2015-2018,2016-20-GL3
Group 1,20161028_春江水暖鸭先知，不破楼兰誓不还,春江水暖鸭先知，不破楼兰誓不还,2016,3,战略导向,总体战略,抢占行业数字化及网络转型高地,2015-2018,2016-21-ZL4
Group 1,20161031_聚焦主航道，眼望星空，朋友越多天下越大,聚焦主航道，眼望星空，朋友越多天下越大,2016,3,战略导向,业务层战略,无线业务的战略发展,2015-2018,2016-22-ZL1
Group 1,20161115_聚焦平台，加强血液流动，敢于破格，抢占世界高地,聚焦平台，加强血液流动，敢于破格，抢占世界高地,2016,3,战略导向,总体战略,图像时代战略机遇,2015-2018,2016-23-ZL4
Group 1,20161121_与合同场景师座谈会上的讲话,与合同场景师座谈会上的讲话,2016,3,管理优化,职能体系建设,合同场景师的职责和机遇,2015-2018,2016-24-GL3
Group 1,20161201_内外合规多打粮，保驾护航赢未来,内外合规多打粮，保驾护航赢未来,2016,3,管理优化,职能体系建设,强化监管体系和内部控制,2015-2018,2016-25-GL3
Group 1,20161217_在法国研究所座谈交流纪要,在法国研究所座谈交流纪要,2016,3,战略导向,研发创新,数学算法在信息时代的作用,2015-2018,2016-26-ZL3
Group 1,20161222_在存货账实相符项目汇报会上的讲话,在存货账实相符项目汇报会上的讲话,2016,3,管理优化,职能体系建设,存活账实相符的变革,2015-2018,2016-27-GL3
Group 1,20170107_在人工智能应用GTS研讨会上的讲话,在人工智能应用GTS研讨会上的讲话,2017,3,战略导向,总体战略,人工智能业务的发展战略,2015-2018,2017-1-ZL4
Group 1,20170111_在2017年市场工作大会上的讲话,在2017年市场工作大会上的讲话,2017,3,队伍建设,培养选拔,建设奋斗队伍,2015-2018,2017-2-DW2
Group 1,20170117_在消费者BG年度大会上的讲话,在消费者BG年度大会上的讲话,2017,3,战略导向,业务层战略,消费者BG的发展战略,2015-2018,2017-3-ZL1
Group 1,20170120_在健康指导中心业务变革项目阶段汇报会上的讲话,在健康指导中心业务变革项目阶段汇报会上的讲话,2017,3,管理优化,职能体系建设,公司健康指导体系的建设,2015-2018,2017-4-GL3
Group 1,201701_在北部非洲（尼日尔、布基纳法索）汇报会议的讲话,在北部非洲（尼日尔、布基纳法索）汇报会议的讲话,2017,3,战略导向,跨国经营,经营方针,2015-2018,2017-5-ZL2
Group 1,20170215_在泰国与地区部负责人、在尼泊尔与员工座谈的讲话,在泰国与地区部负责人、在尼泊尔与员工座谈的讲话,2017,3,战略导向,跨国经营,艰难地区的条件,2015-2018,2017-6-ZL2
Group 1,20170220_在泛网络区域组织变革优化总结与规划汇报的讲话,在泛网络区域组织变革优化总结与规划汇报的讲话,2017,3,管理优化,管理变革,泛网络区域组织变革优化,2015-2018,2017-7-GL1
Group 1,20170224_在高研班和战略预备队汇报会上的讲话,在高研班和战略预备队汇报会上的讲话,2017,3,管理优化,职能体系建设,公司的人力资源改革,2015-2018,2017-8-GL3
Group 1,20170314_我们的目的是实现高质量,我们的目的是实现高质量,2017,3,管理优化,职能体系建设,制造瞄准高质量前进,2015-2018,2017-9-GL3
Group 1,20170316_客户需求导向，提升公司E2E系统竞争力,客户需求导向，提升公司E2E系统竞争力,2017,3,战略导向,总体战略,客户需求牵引产品和解决方案,2015-2018,2017-10-ZL4
Group 1,20170328_在支付系统员工座谈会上的讲话,在支付系统员工座谈会上的讲话,2017,3,管理优化,职能体系建设,支付系统的发展导向,2015-2018,2017-11-GL3
Group 1,20170406_与广州代表处部分员工晚餐会的讲话,与广州代表处部分员工晚餐会的讲话,2017,3,队伍建设,考评激励,考核评价,2015-2018,2017-12-DW1
Group 1,20170410_与网络能源产品线部分员工晚餐会的讲话,与网络能源产品线部分员工晚餐会的讲话,2017,3,队伍建设,考评激励,考核评价,2015-2018,2017-13-DW1
Group 1,20170418_在战略预备队座谈会上的讲话,在战略预备队座谈会上的讲话,2017,3,队伍建设,培养选拔,训战结合培养优秀员工,2015-2018,2017-14-DW2
Group 1,20170424_在道德遵从委员会第二次代表大会的讲话,在道德遵从委员会第二次代表大会的讲话,2017,3,管理优化,制度建设,法律遵从与道德遵从部门建设,2015-2018,2017-15-GL4
Group 1,20170427_在职员类定位与差异化管理汇报会上的讲话,在职员类定位与差异化管理汇报会上的讲话,2017,3,队伍建设,培养选拔,员工培养,2015-2018,2017-16-DW2
Group 1,20170527_在健康指导与应急保障业务整合及签证变革进展汇报会上的讲话,在健康指导与应急保障业务整合及签证变革进展汇报会上的讲话,2017,3,管理优化,职能体系建设,统筹管理员工健康、安全、保险与员工服务,2015-2018,2017-17-GL3
Group 1,20170527_在继任计划工作汇报会上的讲话,在继任计划工作汇报会上的讲话,2017,3,队伍建设,培养选拔,员工培养,2015-2018,2017-18-DW2
Group 1,20170601_什么叫精神文明，什么叫物质文明,什么叫精神文明，什么叫物质文明,2017,3,队伍建设,文化理念,发展精神文明,2015-2018,2017-19-DW3
Group 1,20170602_方向要大致正确，组织要充满活力,方向要大致正确，组织要充满活力,2017,3,战略导向,总体战略,华为管道产业发展方向,2015-2018,2017-20-ZL4
Group 1,20170624_在俄罗斯代表处讲话纪要,在俄罗斯代表处讲话纪要,2017,3,战略导向,跨国经营,俄罗斯地区的经营战略,2015-2018,2017-21-ZL2
Group 1,20170705_在华为平安园区项目汇报会上的讲话,在华为平安园区项目汇报会上的讲话,2017,3,管理优化,管理变革,提升解决方案能力,2015-2018,2017-22-GL1
Group 1,20170711_在战略预备队述职会上的讲话,在战略预备队述职会上的讲话,2017,3,战略导向,总体战略,投资管理要聚焦商业成功,2015-2018,2017-23-ZL4
Group 1,20170712_在三季度区域总裁会议上的讲话,在三季度区域总裁会议上的讲话,2017,3,战略导向,总体战略,理解公司未来战略,2015-2018,2017-24-ZL4
Group 1,20170712_在新员工入职培训座谈会上的讲话,在新员工入职培训座谈会上的讲话,2017,3,队伍建设,培养选拔,战略预备队建设,2015-2018,2017-25-DW2
Group 1,20170718_与韩国办事处交流纪要,与韩国办事处交流纪要,2017,3,战略导向,跨国经营,韩国的经营战略,2015-2018,2017-26-ZL2
Group 1,20170723_任正非与徐直军在消费者BG2017年中市场大会上的讲话,任正非与徐直军在消费者BG2017年中市场大会上的讲话,2017,3,战略导向,业务层战略,消费者BG的发展战略,2015-2018,2017-27-ZL1
Group 1,20170807_在人力资源管理纲要2.0沟通会上的讲话,在人力资源管理纲要2.0沟通会上的讲话,2017,3,战略导向,总体战略,公司的未来价值创造和人力资源体系,2015-2018,2017-28-ZL4
Group 1,20170807_在行政服务解决“小鬼难缠”工作进展汇报上的讲话,在行政服务解决“小鬼难缠”工作进展汇报上的讲话,2017,3,管理优化,管理变革,整改“小鬼难缠”问题,2015-2018,2017-29-GL1
Group 1,20170807_科学的量化、简化管理，关注技能与经验的积累，培育工匠文化,科学的量化、简化管理，关注技能与经验的积累，培育工匠文化,2017,3,队伍建设,考评激励,作业类员工管理,2015-2018,2017-30-DW1
Group 1,20170809_在子公司监督型董事会年中工作会议上的讲话,在子公司监督型董事会年中工作会议上的讲话,2017,3,管理优化,制度建设,公司内控和监管,2015-2018,2017-31-GL4
Group 1,20170821_在规范职能组织权力工作组座谈会上的讲话,在规范职能组织权力工作组座谈会上的讲话,2017,3,管理优化,职能体系建设,规范职能组织权力,2015-2018,2017-32-GL3
Group 1,20170824_与采购干部座谈会上的讲话,与采购干部座谈会上的讲话,2017,3,管理优化,职能体系建设,走向科学性采购,2015-2018,2017-33-GL3
Group 1,20170826_开放创新，吸纳全球人才，构建“为我所知、为我所用、为我所有”的全球能力布局,开放创新，吸纳全球人才，构建“为我所知、为我所用、为我所有”的全球能力布局,2017,3,战略导向,研发创新,开放创新，吸纳全球人才,2015-2018,2017-34-ZL3
Group 1,20170828_在诺亚方舟实验室使能工程部成立会上的讲话,在诺亚方舟实验室使能工程部成立会上的讲话,2017,3,战略导向,研发创新,人工智能使能工程部,2015-2018,2017-35-ZL3
Group 1,20170829_任总在GTS人工智能实践进展汇报会上的讲话,任总在GTS人工智能实践进展汇报会上的讲话,2017,3,战略导向,研发创新,人工智能的应用和发展,2015-2018,2017-36-ZL3
Group 1,20170914_任总与接入网团队座谈会上的讲话,任总与接入网团队座谈会上的讲话,2017,3,战略导向,业务层战略,接入网的未来发展,2015-2018,2017-37-ZL1
Group 1,20171003_在加拿大代表处的讲话,在加拿大代表处的讲话,2017,3,管理优化,管理变革,确定性事务的效率提升,2015-2018,2017-38-GL1
Group 1,20171006_一杯咖啡吸收宇宙能量，一桶浆糊粘接世界智慧,一杯咖啡吸收宇宙能量，一桶浆糊粘接世界智慧,2017,3,战略导向,研发创新,华为的未来研发创新导向,2015-2018,2017-39-ZL3
Group 1,20171018_在会议标准化及服务提升项目汇报会上的讲话,在会议标准化及服务提升项目汇报会上的讲话,2017,3,管理优化,职能体系建设,会议标准化及服务提升,2015-2018,2017-40-GL3
Group 1,20171019_在2017年第四季度地区部总裁会议上的讲话,在2017年第四季度地区部总裁会议上的讲话,2017,3,战略导向,总体战略,加强经营管理，焕发战斗活力,2015-2018,2017-41-ZL4
Group 1,20171024_在消费者BG业务汇报及骨干座谈会上的讲话,在消费者BG业务汇报及骨干座谈会上的讲话,2017,3,战略导向,业务层战略,消费者业务的未来发展,2015-2018,2017-42-ZL1
Group 1,20171113_关于人力资源管理纲要2.0修订与研讨的讲话纪要,关于人力资源管理纲要2.0修订与研讨的讲话纪要,2017,3,管理优化,制度建设,人力资源管理制度变革,2015-2018,2017-43-GL4
Group 1,20171120_在公司愿景与使命研讨会上的讲话,在公司愿景与使命研讨会上的讲话,2017,3,战略导向,总体战略,华为公司愿景使命,2015-2018,2017-44-ZL4
Group 1,20171218_在落实日落法及清理机关说NO,在落实日落法及清理机关说NO,2017,3,管理优化,管理变革,简化管理,2015-2018,2017-45-GL1
Group 1,20171225_在听取展厅工作汇报时，关于咨询师的讲话,在听取展厅工作汇报时，关于咨询师的讲话,2017,3,队伍建设,培养选拔,员工培养,2015-2018,2017-46-DW2
Group 1,20180116_在财务部分员工座谈会上的讲话,在财务部分员工座谈会上的讲话,2018,3,管理优化,职能体系建设,财经体系的下一步改进,2015-2018,2018-1-GL3
Group 1,20180118_与财务、基建、行政座谈会上的讲话,与财务、基建、行政座谈会上的讲话,2018,3,管理优化,职能体系建设,对未来基建和办公系统的调整,2015-2018,2018-2-GL3
Group 1,20180205_与“落实日落法及清理机关说NO”秘书处座谈会上的讲话,与“落实日落法及清理机关说NO”秘书处座谈会上的讲话,2018,3,管理优化,职能体系建设,秘书处在管理变革中的作用,2015-2018,2018-3-GL3
Group 1,20180209_在员工关系变革工作进展汇报上的讲话,在员工关系变革工作进展汇报上的讲话,2018,3,管理优化,职能体系建设,员工关系变革,2015-2018,2018-4-GL3
Group 1,20180224_从系统工程角度出发规划华为大生产体系架构，建设世界一流的先进生产系统,从系统工程角度出发规划华为大生产体系架构，建设世界一流的先进生产系统,2018,3,管理优化,职能体系建设,面向未来设计生产制造模式,2015-2018,2018-5-GL3
Group 1,20180314_任正非在2018年全球行政年会上的座谈纪要,任正非在2018年全球行政年会上的座谈纪要,2018,3,管理优化,职能体系建设,优化行政管理体系,2015-2018,2018-6-GL3
Group 1,20180321_研发要做智能世界的“发动机”,研发要做智能世界的“发动机”,2018,3,战略导向,总体战略,华为的主航道和理想,2015-2018,2018-7-ZL4
Group 1,20180420_关于人力资源组织运作优化的讲话,关于人力资源组织运作优化的讲话,2018,3,管理优化,制度建设,人力资源体系的总体顶层设计,2015-2018,2018-8-GL4
Group 1,20180426_任正非在战略预备队述职会上的讲话,任正非在战略预备队述职会上的讲话,2018,3,管理优化,制度建设,战略预备队,2015-2018,2018-9-GL4
Group 1,20180605_在剑桥和伊普斯维奇研究所座谈纪要,在剑桥和伊普斯维奇研究所座谈纪要,2018,3,战略导向,研发创新,剑桥和伊普斯维奇研究所发展导向,2015-2018,2018-10-ZL3
Group 1,20180622_BG机关要缩短经线，畅通纬线，强化作战组织的能力考核与选拔，精减非作战组织的规模及运作,BG机关要缩短经线，畅通纬线，强化作战组织的能力考核与选拔，精减非作战组织的规模及运作,2018,3,管理优化,管理变革,简化管理,2015-2018,2018-11-GL1
Group 1,20180627_与平台协调委员会座谈纪要,与平台协调委员会座谈纪要,2018,3,管理优化,制度建设,平台协调委员会推动组织结构优化,2015-2018,2018-12-GL4
Group 1,20180713_在攀登珠峰的路上沿途下蛋,在攀登珠峰的路上沿途下蛋,2018,3,战略导向,业务层战略,多路径、多梯次、多场景化满足客户需求,2015-2018,2018-13-ZL1
Group 1,20180718_在GTS人工智能实践进展汇报会上的讲话,在GTS人工智能实践进展汇报会上的讲话,2018,3,战略导向,业务层战略,人工智能业务发展,2015-2018,2018-14-ZL1
Group 1,20180929_从人类文明的结晶中，找到解决世界问题的钥匙,从人类文明的结晶中，找到解决世界问题的钥匙,2018,3,管理优化,日常管理,公共关系和战略宣传,2015-2018,2018-15-GL2
Group 1,20181017_坚持多路径、多梯次、多场景化的研发路线，攻上“上甘岭”，实现5G战略领先,坚持多路径、多梯次、多场景化的研发路线，攻上“上甘岭”，实现5G战略领先,2018,3,战略导向,业务层战略,5G业务的未来发展,2015-2018,2018-16-ZL1
Group 1,20181121_任正非在日本研究所业务汇报,任正非在日本研究所业务汇报,2018,3,战略导向,研发创新,合作共赢推进研发,2015-2018,2018-17-ZL3
